gene	p_val	log2FC	pct.1	pct.2	padj
HLA-DQA2	9.30685880001061e-27	2.0072404608372	0.364	0.048	1.94792554684222e-22
KIR2DL4	6.76211610890764e-15	1.55099262421625	0.203	0.028	1.41531090159437e-10
MTCO1P12	5.54051791043907e-16	1.51483623346142	0.281	0.043	1.1596303986549e-11
TRGV9	2.75321708007574e-15	1.50952064178801	0.26	0.066	5.76248334859852e-11
HLA-H	3.02669452438767e-16	1.4080581846696	0.338	0.092	6.33487163954339e-12
PELI1	1.93108132609123e-17	1.34728800188372	0.433	0.172	4.04175321550895e-13
TNFRSF9	1.2633119465059e-08	1.14355262384274	0.221	0.078	0.000264411190403685
LAG3	5.39574018722278e-18	1.1403344131535	0.541	0.268	1.12932842118573e-13
DUSP4	5.29457263395482e-25	1.12260953644305	0.706	0.385	1.10815405228674e-20
KRT86	5.20373884983337e-07	1.10370211019095	0.143	0.048	0.0108914254127012
ELL2	2.31304187764114e-08	1.08606046038769	0.195	0.059	0.000484119664990291
TYROBP	6.9426362440067e-07	1.08270468149143	0.16	0.078	0.014530937658706
HLA-DRB5	2.41247567084156e-20	1.07466981954763	0.628	0.39	5.04931157907139e-16
CCL3L1	1.31146348352134e-07	1.06956139726087	0.29	0.137	0.00274489307101017
LMNA	2.49868945075369e-07	1.02952153638937	0.303	0.144	0.00522975702042748
AREG	5.54323551833654e-07	1.00686770282682	0.264	0.135	0.0116019919398784
ENSG00000228509	2.15030859256189e-06	0.982594848793483	0.156	0.066	0.0450059588423203
ENSG00000280138	3.36279576954742e-07	0.981182399749994	0.152	0.046	0.00703833154566274
NR4A2	7.77100754708274e-18	0.979136420447358	0.649	0.394	1.62647187960442e-13
CXCL13	3.40288812219542e-08	0.962433326909787	0.39	0.211	0.000712224483975502
MAP3K8	2.5699977170331e-09	0.913266723565765	0.385	0.236	5.37900522175028e-05
MT2A	4.75669576652832e-15	0.888881496993985	0.775	0.569	9.95576423934377e-11
HLA-DQB1	2.06025301070032e-09	0.851197616418546	0.433	0.287	4.31210955139576e-05
ZNF331	3.27642823710115e-08	0.845368713775695	0.407	0.236	0.00068575643002527
RHOB	6.33108655925163e-07	0.833010072988406	0.338	0.183	0.0132509641685137
OASL	4.8495340361352e-08	0.824001259128312	0.394	0.257	0.0010150074737631
AHI1	2.15037198023059e-06	0.808031504624207	0.234	0.113	0.0450072855462263
RPL13P12	1.9963239339298e-06	0.80142077301139	0.372	0.174	0.0417830599371506
PMAIP1	7.27790240825664e-11	0.799547785077734	0.58	0.399	1.52326497404811e-06
CCL3	2.10533581582928e-07	0.797257083501643	0.481	0.289	0.00440646786253067
HLA-DRA	2.04598796925075e-12	0.742550379777546	0.675	0.459	4.28225281964183e-08
CREM	9.45533655315194e-07	0.726314287773116	0.385	0.246	0.019790019405747
TOB1	2.02476475725413e-06	0.706766262946574	0.368	0.287	0.0423783263693289
H1-2	5.8061778735951e-07	0.689549231753316	0.437	0.339	0.0121523302894345
FAM177A1	6.5383487375464e-07	0.683883213322139	0.407	0.282	0.0136847639076846
