gene	p_val	log2FC	pct.1	pct.2	padj
KLRC1	1.44069925723841e-10	1.8013745476258	0.214	0.005	2.76354931523472e-06
HLA-DQA2	1.55563159698918e-12	1.62450995337324	0.479	0.12	2.98401252934465e-08
GNA15	6.17010821288193e-08	1.43689084098296	0.179	0.011	0.00118355015739501
PELI1	9.02671861973546e-11	1.4187209272533	0.5	0.164	1.73150516563766e-06
HLA-DRB5	9.17610013367808e-17	1.26824001606387	0.736	0.404	1.76015952764213e-12
DUSP4	1.10326782157478e-14	1.24780809599941	0.729	0.322	2.11628833534475e-10
TOB1	7.79655078802562e-07	1.01847138588757	0.457	0.257	0.0149553437215907
HLA-DRA	3.49437763397569e-13	0.963686753335988	0.821	0.475	6.70291517749217e-09
ADGRE5	8.51346394001785e-10	0.884833203928501	0.721	0.486	1.63305265297422e-05
NR4A2	5.39624315408306e-07	0.835570653047691	0.643	0.361	0.0103510736181621
EZR	2.62764063812195e-07	0.74797777887716	0.707	0.541	0.00504034027204552
HLA-DRB1	7.51937879026242e-10	0.712041987182606	0.843	0.612	1.44236723954814e-05
CD7	1.62807756862292e-08	0.698144810597373	0.807	0.607	0.000312297839213249
GAPDH	3.27543317186605e-20	0.473350042982513	0.993	0.967	6.28293591027346e-16
CD74	4.37698192195059e-16	0.460657307676178	0.993	0.923	8.39592672268562e-12
UBC	2.4149521908436e-11	0.396191068146665	0.979	0.967	4.6323612924762e-07
FTH1	5.04748384272436e-07	0.315953966647717	0.971	0.956	0.00968208350711387
EIF1	1.16210170424026e-08	0.260411296595539	0.986	0.989	0.000222914348907366
RPS3	1.81105443727294e-07	-0.179218734861103	1	0.995	0.00347396462157696
MT-CO1	1.54973628129237e-07	-0.314408219257359	0.936	0.967	0.00297270413477502
MT-CO3	7.52007312097833e-07	-0.350509154878698	0.864	0.956	0.0144250042606606
MT-ND4L	1.00556161945331e-07	-0.660599015986225	0.607	0.809	0.00192886829843534
IER2	1.04844705471089e-06	-0.731621672086612	0.471	0.689	0.0201113114034642
PLAAT4	2.68780444433771e-07	-0.779253669940898	0.4	0.672	0.0051557464851286
RPS2	1.61383076007421e-11	-0.852370596697957	0.571	0.781	3.09565016397435e-07
DUSP1	1.02147702530476e-09	-0.906213735840054	0.45	0.732	1.95939722993959e-05
LCK	5.1864044686974e-07	-0.931235553699084	0.264	0.536	0.00994856105185536
PSMB10	1.85646974917365e-06	-0.966681674651338	0.214	0.464	0.0356108027286489
PTGDR	1.58924278472091e-07	-1.10787870855185	0	0.126	0.00304848550965164
CCND3	2.02008262636777e-07	-1.15433908304683	0.143	0.399	0.00387492249389865
SCML4	4.97316744772874e-07	-1.29505468988578	0.014	0.153	0.00953952979823327
PLEK	3.07805004954585e-07	-1.3762120012188	0.043	0.224	0.00590431560503884
GIMAP7	4.79001439151387e-09	-1.40712111573539	0.114	0.388	9.18820560580191e-05
GIMAP4	1.17967977319617e-09	-1.47148862629548	0.114	0.404	2.2628617409449e-05
RPS2P5	1.40576949770357e-12	-1.47752698938464	0.193	0.541	2.69654705049499e-08
PYHIN1	1.39129332037594e-09	-1.57067774316188	0.029	0.257	2.66877884714512e-05
ENSG00000213058	1.39430331944469e-11	-1.66200131695154	0	0.202	2.6745526273588e-07
FCRL6	1.21625992436906e-10	-1.66840138984771	0.014	0.246	2.33302978692473e-06
KLRG1	2.32516710506968e-10	-1.75755427678199	0.007	0.213	4.46013554094466e-06
FGFBP2	2.23857349275901e-08	-1.97000444127748	0	0.142	0.000429403167381034
