gene	p_val	log2FC	pct.1	pct.2	padj
MTCO1P12	2.82048739042885e-21	2.43176754212844	0.382	0.017	5.90328010816758e-17
KIR2DL4	3.91730189250025e-17	2.32449384527984	0.416	0.038	8.19891286100303e-13
KRT86	4.05555709473605e-11	2.03990716723209	0.315	0.052	8.48828099928255e-07
HLA-H	4.95081752958828e-13	1.96473611583115	0.281	0.021	1.03620610894283e-08
TRGV9	8.62453244694493e-13	1.8690799287765	0.404	0.107	1.80511464114557e-08
ENSG00000228509	3.6056514260908e-10	1.79924281720267	0.348	0.076	7.54662843480804e-06
KIR3DL2	3.02782620356606e-08	1.73983818693915	0.135	0.003	0.000633724024406376
TNFRSF9	1.1906176468852e-09	1.69468549652349	0.326	0.062	2.49196273493073e-05
TYROBP	6.58606388808385e-08	1.67308040299274	0.281	0.097	0.00137846317177595
HLA-DQA2	1.01577491832877e-08	1.61393103850316	0.191	0.01	0.000212601690406212
AREG	3.55447579392329e-11	1.60932094032281	0.528	0.194	7.43951783668144e-07
H1-10	8.00404504237369e-10	1.60798576793189	0.326	0.069	1.67524662736881e-05
AHI1	8.03336733854415e-12	1.58701494899863	0.427	0.121	1.68138378395729e-07
ENSG00000275063	1.95185219496958e-09	1.55744598729667	0.135	0	4.08522664407133e-05
LAG3	2.79761364440578e-13	1.3936538937741	0.64	0.287	5.8554053577413e-09
TPGS1	1.52166196553489e-08	1.35839922267423	0.157	0.014	0.000318483849386453
GADD45G	1.20560924601312e-06	1.35445952053869	0.247	0.069	0.0252334015190545
TNFRSF18	1.36907935177912e-06	1.32319272909138	0.36	0.097	0.0286548308327371
NCR1	1.3110235148241e-06	1.31788702537	0.225	0.045	0.0274397221652685
MMP12	9.63410911630015e-09	1.30207673565339	0.124	0	0.000201641903804162
BASP1	3.14910214635416e-07	1.29447981483032	0.146	0.014	0.00659107079231925
JCHAIN	1.90898686405167e-06	1.26292286454732	0.112	0.007	0.0399550950646015
CXCL13	2.25539242108637e-08	1.23952634701161	0.528	0.266	0.000472053633733377
SFPQ	1.13695724995584e-10	1.23115018770541	0.562	0.273	2.37965152415756e-06
TSHZ2	5.80175163936413e-09	1.21641749499667	0.135	0.003	0.000121430661811891
MTATP6P1	1.15466152654858e-13	1.20811091587017	0.685	0.394	2.41670657506617e-09
CREM	4.39322483885657e-08	1.09029751111303	0.551	0.287	0.00091950195877268
ENSG00000277856	2.30466798119162e-07	1.05088448065038	0.101	0	0.00482367008463405
RPS2P5	2.00708967838429e-09	1.01051860164069	0.663	0.394	4.20083869685832e-05
CITED2	1.33172552515755e-08	0.982650621447225	0.685	0.405	0.000278730152415476
ARF6	1.25555834629439e-06	0.944338974275347	0.472	0.28	0.0262788361879417
DUSP4	1.10818543924239e-08	0.941417446933166	0.663	0.433	0.000231943212433432
PNRC1	3.6678347850645e-17	0.904100538523646	0.91	0.696	7.67677820513999e-13
NR4A2	9.36226350202021e-08	0.870642860600018	0.663	0.464	0.00195952175097283
CYBA	3.57292408592596e-09	0.701964154016464	0.787	0.633	7.47813011184303e-05
GZMB	1.81649766182841e-06	0.556517093711803	0.854	0.716	0.0380192960620687
ZFP36L2	1.62077697410509e-09	0.542960694650913	0.921	0.824	3.39228620680195e-05
CD7	3.72235375681057e-18	0.533711606367417	0.978	0.907	7.79088641300452e-14
RPS2	2.03094914533966e-07	0.381918444407866	0.955	0.865	0.00425077656119592
RPS26	3.81832855332799e-08	0.22092637747991	1	0.972	0.000799176166211549
B2M	1.09188859497508e-06	-0.0742975180129473	1	1	0.0228532282928284
TMSB4X	4.6685003934289e-08	-0.146936976477714	1	1	0.000977117132344668
ARHGDIB	7.82213152067e-08	-0.397813819684973	0.888	0.948	0.00163717212727623
MT-ATP6	6.15087221810106e-08	-0.417082085609759	0.876	0.969	0.00128737755524855
CD52	7.23801738079887e-09	-0.472741258668232	0.888	0.941	0.00015149170378012
LAPTM5	2.24403019643533e-07	-0.491005635248119	0.742	0.91	0.00469675520113914
S100A4	1.75143850506985e-08	-0.491623689034537	0.775	0.955	0.00036657607911112
VIM	3.8579633960848e-10	-0.515278311277318	0.865	0.962	8.07471738800549e-06
LCP1	4.32672976139938e-07	-0.599769866261195	0.629	0.844	0.0090558453906089
S100A6	2.12148414672734e-08	-0.618628622385637	0.64	0.886	0.000444026631910032
ITM2B	1.46300105582548e-06	-0.622658443489743	0.607	0.796	0.0306206120984273
CD2	2.92044327473315e-14	-0.820830623633359	0.674	0.91	6.11248777401648e-10
NFKBIA	2.77002305382407e-11	-0.827418130046192	0.674	0.882	5.79765825165378e-07
SLC2A3	1.03764618674138e-06	-0.956284844810708	0.337	0.592	0.0217179346884972
CAPG	2.07059959085005e-06	-0.990185339380718	0.348	0.547	0.0433376494364915
EMP3	7.27363234207194e-09	-1.21970766841167	0.236	0.567	0.000152237124919566
C12orf75	2.08621041942989e-06	-1.33349996625312	0.067	0.298	0.0436643840786677
CTSW	2.10246434820598e-19	-1.45869510231719	0.281	0.851	4.40045788079513e-15
