gene	pVal	padj	log2FC
KRT86	0	0	2.7875334
RDH10	0	0	2.2511097
TYMS	0	0	2.1554422
HMOX1	0	0	2.1269147
GNG4	0	0	2.0442252
CXCL13	0	0	1.9996046
AFAP1L2	0	0	1.8043231
ACP5	0	0	1.7800031
MYO1E	1.85e-288	6.19e-284	1.7561749
LAYN	0	0	1.7382023
TNS3	2.5e-274	8.4e-270	1.728386
TNFSF4	0	0	1.7231086
AKAP5	0	0	1.7048326
HAVCR2	0	0	1.6619313
ENTPD1	0	0	1.6572299
SLC2A8	0	0	1.5922029
AC243829.4	0	0	1.5792774
ZBED2	0	0	1.5725002
MCM5	0	0	1.531212
CAV1	0	0	1.5209172
GOLIM4	8.97e-213	3.01e-208	1.484157
TRAV21	1.63e-127	5.45e-123	1.4814235
VCAM1	0	0	1.4635319
PON2	9.58e-293	3.21e-288	1.4466664
MTSS1	0	0	1.3991931
CD38	0	0	1.3436922
TRBV11-2	2.2e-131	7.38e-127	1.3426606
MS4A6A	0	0	1.3406387
TOX2	3.46e-222	1.16e-217	1.3255537
CSF1	4.17e-227	1.4e-222	1.3074188
GALNT2	0	0	1.3070599
FXYD2	2.9e-120	9.74e-116	1.3069172
PLPP1	0	0	1.3034122
LMCD1	7.91e-215	2.65e-210	1.2793803
MYL6B	7.02e-257	2.36e-252	1.2723317
LAG3	0	0	1.2587563
HLA-DRA	0	0	1.2571465
IGFLR1	0	0	1.2556706
CCDC50	7.44e-182	2.49e-177	1.2406909
CD27	0	0	1.2330919
KIAA1324	5.09e-271	1.71e-266	1.2299748
CDKN2A	1.36e-242	4.56e-238	1.2269238
CD70	0	0	1.2200487
ABHD6	9.37e-201	3.14e-196	1.2047367
CTLA4	0	0	1.1833269
PDCD1	0	0	1.1815865
GEM	0	0	1.1742052
NUSAP1	2.14e-273	7.17e-269	1.1674393
TOX	0	0	1.1629224
CXCR6	8.85e-280	2.97e-275	1.1596155
NMB	2.28e-179	7.66e-175	1.1549443
HOPX	3.68e-246	1.23e-241	1.1394652
CLIC3	1.07e-164	3.6e-160	1.1367944
INPP5F	2.04e-287	6.84e-283	1.1343606
SNAP47	2.77e-250	9.28e-246	1.1234794
TSHZ2	0	0	1.1155014
HLA-DMA	0	0	1.113909
SIT1	4.23e-256	1.42e-251	1.1127267
HLA-DRB1	0	0	1.1102964
TUBB	1.54e-140	5.18e-136	1.1063037
PYCARD	1.66e-215	5.58e-211	1.0867669
ADGRG1	7.55e-214	2.53e-209	1.0834576
HLA-DQA1	0	0	1.08208
PRF1	0	0	1.0786372
HLA-DPA1	0	0	1.0759674
PTMS	0	0	1.0716619
CKS1B	5.36e-142	1.8e-137	1.0602376
HIPK2	8.07e-154	2.71e-149	1.0491701
CHST12	0	0	1.0372087
LSP1	0	0	1.0368494
FAM3C	7.76e-184	2.6e-179	1.0346874
SLC1A4	3.95e-122	1.32e-117	1.0231737
NUDT1	3.11e-176	1.04e-171	1.0037084
DNPH1	0	0	1.0006653
RARA	3.17e-269	1.06e-264	-1.017162
GADD45B	1.84e-241	6.16e-237	-1.02016
C1orf21	2.38e-141	7.99e-137	-1.082634
AOAH	1.01e-99	3.38e-95	-1.104377
MATK	1.11e-207	3.71e-203	-1.147629
SATB1	9.15e-221	3.07e-216	-1.203582
MBP	0	0	-1.236393
ANTXR2	9.13e-145	3.06e-140	-1.243363
RORA	1.44e-231	4.83e-227	-1.256283
CCR7	0	0	-1.265117
ANXA1	0	0	-1.269591
BACH2	1.59e-273	5.33e-269	-1.318873
GLUL	1.06e-236	3.56e-232	-1.327885
TNFSF14	1.83e-215	6.13e-211	-1.330286
AUTS2	1.02e-228	3.41e-224	-1.416932
PERP	0	0	-1.437005
EPHA4	8.01e-189	2.69e-184	-1.537999
TCF7	0	0	-1.589937
SELL	5.5e-189	1.85e-184	-1.622002
MYC	5.47e-159	1.83e-154	-1.64272
IL7R	0	0	-1.916914
CD300A	3.88e-283	1.3e-278	-1.923637
ITGA5	1.12e-237	3.74e-233	-2.002997
GPR183	0	0	-2.026905
KLF3	0	0	-2.280855
S1PR1	0	0	-2.516755
