gene	pVal	adj.pVal	log2FC
TRBV9	1.66784783276575e-18	8.61370760807649e-15	0.448670288730976
CXCL13	3.54604442180072e-12	7.83740290752901e-09	0.427569695132242
GAPDH	8.80052598646694e-12	1.7829865648582e-08	0.283251632688452
AOAH	1.46073861862952e-10	2.36756515307472e-07	-0.22183586079408
TNFRSF9	2.40456704447944e-10	3.65373962408651e-07	0.29256070185158
KLRC2	1.87734073372978e-08	1.98443077906254e-05	0.206753726760531
RPL12	6.87030254213907e-08	6.42426136171097e-05	0.164925982094273
PDCD1	9.0201175412161e-08	8.12211472822392e-05	0.229055507527568
SPOCK2	1.20854579389312e-07	0.000101317811521	-0.250077556683653
KRT86	1.55817472371238e-07	0.0001222011093	-0.188136771296964
ATP5MC2	2.33702678678284e-07	0.000177555610126	0.224593030708103
GZMH	2.88645771774824e-07	0.000200501600097	-0.287933005997948
TOX	3.46527874509547e-07	0.000234021824585	0.225427682598505
MIF	4.32367340335783e-07	0.000284100399412	0.236632535500398
SAMSN1	9.53122596550816e-07	0.000609797804404	0.180997509838864
ITM2A	1.0139376948893e-06	0.000632073159953	0.249061406145061
PARK7	2.81527611541293e-06	0.001629642688522	0.218083294584609
RBPJ	3.03639038560651e-06	0.001713101913465	0.176411437478582
LAG3	3.98896066955384e-06	0.002108252430396	0.221211977938328
CTLA4	4.36330948359269e-06	0.002257037875853	0.204658308152519
TRBV6-2	5.55142171623636e-06	0.002754411525819	-0.180848334333138
S100A4	5.8049064202174e-06	0.002822577697767	0.243613616883125
SLC2A3	6.1038386634207e-06	0.002853779338175	-0.201405658112218
IL6ST	6.01061462953364e-06	0.002853779338175	0.134082018807973
PTPN6	9.08099064147654e-06	0.004014128081374	0.19411641617001
CSNK2B	1.08826595575573e-05	0.004641740687076	0.19355282931664
BIN2	1.74407264436165e-05	0.007186761716902	-0.149166640252637
GZMM	1.90932873302336e-05	0.007609770517584	-0.185431356772724
LYST	2.00188245371017e-05	0.007725359716603	0.200549667327892
RPL15	2.08231059653802e-05	0.007910177378599	0.146387005807365
TMEM243	2.14379041148815e-05	0.008018435766785	0.131969619825142
CCL4	2.19361495364612e-05	0.008080479811067	-0.320245979128496
PTMA	2.52482669968857e-05	0.009161729361616	0.149591738262463
ANXA1	3.17731183986532e-05	0.011195189195769	-0.190633811168398
PKM	3.48829481654557e-05	0.011944707546459	0.206666687355725
UBE2F	3.68028609887189e-05	0.012134019538122	0.13834894351472
FXYD5	3.82560491488973e-05	0.012401080892107	0.189867675401799
LCP1	4.15240790280346e-05	0.013073400228246	-0.199402395092119
MBP	6.17205540902333e-05	0.018078917000503	-0.127643394804668
DDIT4	6.33462059594699e-05	0.018334201896269	-0.196488925913442
GZMK	6.97660236254437e-05	0.019954724310374	-0.223459165253004
DYNLL1	7.9109539330025e-05	0.022364082792925	0.179607772631578
HOPX	8.31116919714045e-05	0.022961493809191	0.133164977504715
DUSP4	0.000102210512367	0.026435552943147	0.20390007172837
RPL19	0.000104788482662	0.026817027268085	0.105424939635511
CTSD	0.0001259496546	0.030620880026311	0.181146065681598
LTB	0.000137345339745	0.032736665685156	-0.127283425148916
SH2D2A	0.000140096868831	0.033068301699246	0.167516217798423
PTPRC	0.000152091024345	0.035215590322631	-0.15489819754389
KLRD1	0.0001702472505	0.039047652397772	0.142450511652965
FAU	0.000174514867871	0.039285235811893	0.107382155473285
RGS1	0.000180687154833	0.040254344603122	0.205326954957697
LIME1	0.000192374778533	0.041759067997178	-0.17536759078449
SRGN	0.000205394984766	0.04304795577274	0.163453004144888
RPL29	0.00021416044627	0.044501442476235	0.110212181510564
SERPINB1	0.000239137195499	0.049270368618349	0.14550288241392
