gene	pVal	log2FC	pct.1	pct.2	padj
HLA-DQA2	1.10419690456174e-23	1.96434430145422	0.365	0.049	2.31108412124772e-19
KIR2DL4	1.67416468930124e-12	1.48081052105206	0.2	0.033	3.50402669470749e-08
MTCO1P12	2.13089066811301e-13	1.44281414402436	0.278	0.047	4.45995416836053e-09
HLA-H	4.43945146529671e-14	1.35619197253878	0.335	0.098	9.29177191686601e-10
PELI1	4.7498470527119e-16	1.34845115774381	0.43	0.169	9.94142988132601e-12
TRGV9	1.3101016638624e-11	1.34512742176606	0.257	0.08	2.742042782464e-07
TNFRSF9	6.0587515534761e-09	1.23575291798084	0.222	0.067	0.000126809670014255
KRT86	1.96664143472094e-07	1.20588504759717	0.143	0.04	0.00411618052287092
TNFRSF18	5.71634118500677e-08	1.1080462215332	0.222	0.067	0.00119643021002192
DUSP4	1.50091104726456e-22	1.09360775392397	0.704	0.4	3.14140682192473e-18
ELL2	1.07377206610966e-07	1.06260444611653	0.196	0.064	0.00224740493436751
LAG3	9.28506578925489e-15	1.05551253056036	0.539	0.284	1.94336426969105e-10
HLA-DRB5	8.15091415860932e-18	1.0465616319508	0.63	0.389	1.70598633339693e-13
ENSG00000280138	1.58142196865433e-06	0.959941494041424	0.152	0.049	0.0330991618039351
CXCL13	2.83884721877218e-07	0.925743630210254	0.391	0.213	0.00594170722889018
CCL3	1.39402268811569e-08	0.921610882751787	0.483	0.267	0.000291768948622614
AHI1	4.82797237512581e-07	0.900347159429419	0.23	0.102	0.0101049461811383
MT2A	1.49708108463932e-14	0.873445497244025	0.774	0.584	3.13339071015009e-10
NR4A2	5.59684860159581e-13	0.826645871670122	0.648	0.436	1.171420412314e-08
MAP3K8	3.06345060533053e-07	0.810475131746071	0.387	0.249	0.0064118021169568
CREM	2.54611033605572e-07	0.807402757793351	0.383	0.229	0.00532900893336462
RNF19A	2.97127057198072e-08	0.758204093213796	0.496	0.311	0.000621886930715564
HLA-DQB1	2.83469440216274e-07	0.748457001617131	0.435	0.304	0.00593301538372662
FAM177A1	1.12997670510498e-06	0.701930965614229	0.404	0.28	0.0236504124378473
PMAIP1	7.19441987398933e-08	0.674291519442641	0.583	0.422	0.00150579207962597
HLA-DRA	7.95911844357655e-10	0.666744579091912	0.678	0.473	1.66584349024057e-05
ADGRE5	1.5793466643273e-09	0.585553630876307	0.7	0.596	3.30557256843703e-05
TUBA4A	1.15199235991757e-08	0.579650866006915	0.687	0.6	0.000241112000930748
HLA-DRB1	1.14559331909274e-07	0.479317899199335	0.748	0.62	0.00239772681686111
HSPA5	3.05336123558395e-07	0.475050794837989	0.73	0.669	0.00639068506607721
CD74	1.00202852445144e-19	0.447016839373091	0.974	0.92	2.09724570167685e-15
CD7	9.17720163786797e-13	0.446509368624393	0.874	0.809	1.92078830280577e-08
PNRC1	2.40150563772261e-07	0.430586323073986	0.765	0.693	0.00502635129975342
UBB	4.78380904853637e-07	0.323373893907211	0.848	0.816	0.0100125123385866
EIF1	1.95115975756305e-12	0.230857901028257	0.987	0.989	4.08377737257946e-08
GAPDH	1.36069134467557e-11	0.227648414675907	0.987	0.978	2.84792698440597e-07
RPS26	4.12942194143006e-11	0.226583514069343	0.974	0.956	8.64288012341312e-07
UBC	6.68385454493709e-09	0.218200020969245	0.987	0.987	0.000139893075625533
FTL	1.70903851941772e-06	0.201946172044358	0.978	0.96	0.0357701762114129
ACTB	2.46116779034932e-10	-0.167643174094166	0.987	0.998	5.15122418520112e-06
MT-CO1	1.08516402469739e-09	-0.206042515227382	0.961	0.987	2.27124830369164e-05
CD52	6.42834705619328e-08	-0.335855874506036	0.822	0.887	0.00134545303886125
FOS	5.88858276503774e-07	-0.349348455391376	0.752	0.909	0.012324803727224
S100A4	3.44649848241086e-08	-0.362658733394662	0.765	0.891	0.000721352132368594
MT-ATP6	1.48303702727131e-10	-0.375009698313754	0.804	0.947	3.10399649807885e-06
MYL12A	2.84416532690369e-08	-0.396862045546195	0.709	0.858	0.000595283802920942
LCP1	2.09015766036235e-06	-0.399500232534852	0.6	0.789	0.0437469998313841
CD69	2.86599571798984e-08	-0.402008094474745	0.8	0.873	0.000599852903775274
MT-ND4L	5.10392991473232e-12	-0.458709160762873	0.739	0.907	1.06825253115347e-07
PLAAT4	1.4999951369765e-07	-0.552607813615022	0.452	0.676	0.00313948982169182
CCL4	9.29979200582793e-08	-0.598783440307543	0.578	0.738	0.00194644646681979
ITM2B	3.99196814693875e-12	-0.611972839047112	0.561	0.78	8.3551893315428e-08
LCP2	2.49017296502781e-07	-0.620406613946266	0.37	0.587	0.00521193201580321
RESF1	4.25946633208398e-07	-0.658586047912944	0.317	0.529	0.00891506303305178
ACTR3	2.44441098586767e-07	-0.668482594733654	0.322	0.527	0.00511615219342103
CTSC	1.65962158749247e-06	-0.689069652275422	0.248	0.458	0.0347358798262175
CD2	8.33358644093764e-16	-0.716854711319291	0.557	0.793	1.74421964208825e-11
LCK	2.61682826326214e-10	-0.717851410337911	0.365	0.633	5.47702155500767e-06
ARPC5	1.56050347176361e-07	-0.733099854180253	0.261	0.469	0.00326613376640123
CSTB	5.72130185822243e-07	-0.770220292675378	0.196	0.393	0.0119746847892596
FKBP5	1.39801511661609e-07	-0.788089852871914	0.239	0.458	0.00292604563907747
CCND3	2.97020316172517e-08	-0.82360741368773	0.217	0.44	0.000621663521749078
CAPG	9.67382255014394e-08	-0.850816412917995	0.261	0.409	0.00202473105974513
IL7R	1.8704260257423e-07	-0.876801497604965	0.265	0.433	0.00391480167187863
SELPLG	1.44180361094397e-08	-0.932746531978745	0.148	0.378	0.000301769495770574
DENND2D	5.38196373970711e-07	-0.933907031935403	0.087	0.264	0.011264450107207
RGL4	4.06779342099898e-07	-0.978346953297458	0.035	0.167	0.00851389163015086
TC2N	2.89424670239342e-07	-1.03855600744308	0.057	0.202	0.00605765834810942
GIMAP4	1.11511260686431e-09	-1.06526778753785	0.13	0.38	2.33393068616701e-05
ENSG00000224114	6.89205772736535e-09	-1.0807238716747	0.03	0.207	0.000144250768233757
THEMIS	5.78900676079192e-11	-1.10530621117248	0.126	0.364	1.21163911503375e-06
KLRB1	2.49334407429903e-10	-1.18719243658684	0.191	0.378	5.21856914750787e-06
CISH	7.42948337542467e-09	-1.19013520020665	0.013	0.147	0.000155499087047638
GIMAP7	9.14950679674021e-12	-1.25390129744964	0.117	0.36	1.91499177255773e-07
KLRG1	1.33849106831187e-11	-1.45367258027657	0.009	0.156	2.80146180597674e-07
ENSG00000213058	8.69294013440131e-15	-1.46569188616829	0.052	0.318	1.8194323701302e-10
