gene	pVal	adj.pVal	log2FC
HLA-DQA2	0	0	2.8425038
KIR2DL4	0	0	2.3717511
TRGV9	0	0	2.1158358
MT2A	0	0	2.0808654
PELI1	0	0	1.957379
HLA-DRB5	0	0	1.9046291
HLA-H	0	0	1.8899178
DUSP4	0	0	1.6660701
LAG3	0	0	1.5200303
MTCO1P12	0	0	1.4570982
CD74	0	0	1.4196288
NR4A2	0	0	1.2671906
CD7	0	0	1.1187652
EIF1	0	0	0.9043232
TNFRSF9	0	1.4e-06	2.1457716
CCL3	0	8e-06	1.7286383
ELL2	0	6.44e-05	1.7471329
HLA-DRA	0	4e-07	1.0865223
ADGRE5	0	8.2e-06	1.2370281
KRT86	1e-07	0.0024947	2.383992
TUBA4A	0	2.96e-05	1.3010917
HLA-DQB1	0	0.0003581	1.5649453
AHI1	0	0.0002581	1.4625154
GAPDH	0	3e-07	0.7965551
RNF19A	0	6.47e-05	1.1308735
PMAIP1	0	4e-04	1.33389
HLA-DRB1	0	6.83e-05	1.0495148
TNFRSF18	1e-07	0.0010623	1.3843735
MAP3K8	1e-07	0.0015284	1.4114225
UBC	0	0.0001234	0.9997527
CXCL13	0	0.0006509	1.2214939
RPS26	0	1.4e-06	0.6503901
PNRC1	0	0.0001777	0.9312006
ENSG00000228509	2e-06	0.0423406	1.8456714
CCL3L1	1.7e-06	0.034874	1.6875652
HSPA5	1e-07	0.0017578	0.8917199
ENSG00000280138	1.3e-06	0.0267502	1.479956
CREM	6e-07	0.0128303	1.1961513
STAT3	7e-07	0.015671	1.04846
HLA-DPA1	7e-07	0.0152033	0.9691808
EZR	1.5e-06	0.0317229	1.1498375
H1-2	2.3e-06	0.0486516	1.0895047
UBB	8e-07	0.0159999	0.7186245
FTL	2e-07	0.0044407	0.4833584
NKG7	2.1e-06	0.0434366	0.6655146
ENO1	2.1e-06	0.0435437	-0.5546913
S100A6	1.9e-06	0.040221	-0.5411266
PPP1R18	1.5e-06	0.0305955	-0.5128098
LCP1	7e-07	0.0150659	-0.4476934
S100A11	1.9e-06	0.0405714	-0.7226907
RESF1	7e-07	0.0152377	-0.7403382
TRAF3IP3	9e-07	0.0191032	-0.8409254
ARPC5	5e-07	0.0109763	-0.7685246
PLAAT4	1e-07	0.0029205	-0.6199765
LPXN	1.2e-06	0.0244216	-0.9835016
LCP2	2e-07	0.0045794	-0.7662663
CSTB	4e-07	0.0074013	-0.8498708
MYL12A	0	0.0002503	-0.534351
FKBP5	3e-07	0.006539	-0.9050298
ANXA2R	1.1e-06	0.0234485	-1.2303768
ACTR3	2e-07	0.0037386	-0.8342755
CD52	0	0.0007674	-0.696428
MT-ATP6	0	5.9e-06	-0.4175476
CCL4	1e-07	0.001854	-0.8545313
S100A4	0	0.0004532	-0.7032397
MT-CO1	0	3.04e-05	-0.5435868
FOS	1e-07	0.0013585	-0.915456
SELPLG	1e-07	0.0013121	-1.0007709
DENND2D	1e-07	0.002159	-1.1621079
RGL4	2e-07	0.0037594	-1.2886563
TC2N	4e-07	0.0082131	-1.501929
ACTB	0	2.8e-06	-0.5811213
CAPG	2e-07	0.0049896	-1.4335985
CCND3	0	0.0002363	-0.94689
IL7R	1e-07	0.0016155	-1.374168
MT-ND4L	0	1e-07	-0.5702141
LCK	0	1e-06	-0.8126068
CD69	0	6.89e-05	-1.2518528
GIMAP4	0	9.9e-06	-1.1553677
ENSG00000224114	0	9.5e-06	-1.3103066
THEMIS	0	4e-07	-1.3433735
CISH	0	2.34e-05	-1.977361
GIMAP7	0	1e-07	-1.6617728
KLRB1	0	4e-07	-2.1194225
ITM2B	0	0	-0.892263
CD2	0	0	-1.1132164
ENSG00000213058	0	0	-1.5525156
KLRG1	0	0	-2.457041
