gene	pVal	padj	log2FC
TRBV7-9	6.96140484569007e-87	1.00801142165592e-82	0.915262105023145
RPS25	3.56284655987793e-52	5.15900181870324e-48	-0.250490520128997
METAP2	0.003709709063798	1	-0.251161603648038
PPDPF	7.26864940503289e-32	1.05250043384876e-27	-0.251551548643986
RPS6	7.3397970409551e-55	1.0628026115303e-50	-0.251722724588153
RPL36	1.18200568749368e-51	1.71154423549085e-47	-0.251870425094495
RPL34	3.23073788958894e-53	4.67810846412478e-49	-0.252091600985195
RPL37	6.13387171770297e-54	8.8818462472339e-50	-0.252329128651022
RPS18	3.42915210064437e-55	4.96541224173304e-51	-0.252744638424327
RPL14	5.06578406550267e-53	7.33525532684786e-49	-0.25296869237473
RPL11	8.23718462615108e-54	1.19274433386668e-49	-0.253132985808746
RPL13	4.24278644722987e-57	6.14355477558886e-53	-0.253303528560811
PDE4D	0.001861310480447	1	-0.253566879425961
ARL4C	5.34347056660642e-05	0.773734538044609	-0.253861763971701
RPL30	2.23403847597862e-51	3.23488771321704e-47	-0.25464888078074
TPT1	8.01152151857573e-59	1.16006831588977e-54	-0.254760385514269
RPS27A	3.95237023217781e-56	5.72303209619347e-52	-0.255640837956207
RPL10	7.39318868506179e-56	1.07053372159695e-51	-0.256563969450713
THOC7	0.007141259984353	1	-0.256803938045035
RPLP0	8.40902867025802e-58	1.21762735145336e-53	-0.257109700789457
EIF1	8.49498656041232e-59	1.2300740539477e-54	-0.257661907160237
HTATIP2	0.002246876839453	1	-0.257879074201024
RPS13	2.52847725891728e-53	3.66123507091222e-49	-0.258022001147046
SLC3A2	1.13269653609929e-06	0.016401445842718	-0.258343922044331
SERP1	3.26639286294438e-10	4.72973686554346e-06	-0.258873599532007
RPL32	1.43852821639582e-55	2.08298885734114e-51	-0.260273299994596
RPL24	1.26852913594531e-49	1.83683018884881e-45	-0.26145828460344
RPL7	1.37387410968478e-35	1.98936971082356e-31	-0.262525035890804
CXCR4	2.37177574596093e-06	0.034343312801514	-0.263821124343755
MT-ATP6	5.90937724640078e-52	8.55677825278833e-48	-0.263943322713057
RPS14	1.15750139983861e-58	1.67606202696631e-54	-0.263955126521159
RPL18A	1.58652450622782e-56	2.29728748501788e-52	-0.264281646261372
RPL19	4.52511377208188e-57	6.55236474197457e-53	-0.264740896924642
RPS8	3.15566118731219e-58	4.56939739922805e-54	-0.265829826313611
MBNL1	8.23599985408958e-07	0.011925727788722	-0.267062678935787
RPL21	4.50956898907896e-56	6.52985589618633e-52	-0.26843306894181
RPL39	1.46734439285967e-56	2.12471468086081e-52	-0.268510927094281
VAMP2	0.005997042516773	1	-0.269052271167369
RPS12	1.36248541441339e-58	1.97287888007059e-54	-0.271188466127126
EIF1AX	0.001062466333397	1	-0.271354467129905
SARAF	1.63288658413303e-43	2.36441977382463e-39	-0.272077981015541
RPL9	2.48551189403317e-59	3.59902122256003e-55	-0.273764985476144
RSL24D1	1.68899363400318e-05	0.244566278203661	-0.275699760700491
AHNAK	0.000289357843172	1	-0.277555574869339
LDHA	1.13917706252078e-16	1.64952838653009e-12	-0.281834609141399
RPS16	6.54149269850464e-62	9.47208142743472e-58	-0.28535174991584
ANP32B	1.05701707232118e-12	1.53056072072106e-08	-0.286257622538386
RPL38	1.58034073817776e-45	2.2883333888814e-41	-0.287145187226746
PABPC1	7.00774470199279e-26	1.01472143284856e-21	-0.288174521804661
SPOCK2	3.93322353850789e-12	5.69530768375942e-08	-0.28825291409166
ATF4	0.000360774417369	1	-0.288666633247623
RPS9	3.58342591324257e-53	5.18880072237524e-49	-0.290748130031639
CIRBP	2.66071008732638e-14	3.8527082064486e-10	-0.291314894215354
BZW1	7.75803213057104e-05	1	-0.291385154016812
SMDT1	9.10098861381626e-07	0.013178231512806	-0.292396491274466
