gene	pVal	adj.pVal	log2FC
ATP10D	2.25968776134397e-216	3.27202787842606e-212	1.21175306020049
GZMB	3.69176452242069e-181	5.34567502846516e-177	1.18754213004524
ENTPD1	5.11482632117408e-120	7.40626851306006e-116	1.03208497888419
KIR2DL4	0	0	0.99351624680259
LAYN	1.89008403001018e-122	2.73684167545474e-118	0.989125991245541
HTRA1	0	0	0.971867408360229
TRBV7-9	6.96140484569007e-87	1.00801142165592e-82	0.915262105023145
CD70	1.57859948736274e-93	2.28581205770125e-89	0.897587435625413
CXCR6	3.90508812142859e-197	5.6545675998286e-193	0.897342958692002
HMOX1	6.18785430155226e-70	8.96001302864768e-66	0.886017421117606
ADGRG1	2.86391422101405e-142	4.14694779202835e-138	0.867823214572756
LRRN3	3.23726496861712e-286	4.68755967455759e-282	0.846342562246681
ACP5	1.39238902662567e-92	2.01617931055397e-88	0.823276115350074
CTSW	1.51504815045068e-133	2.19378972185259e-129	0.792090871695688
GALNT2	8.21396598067345e-71	1.18938227400152e-66	0.768745402443529
LINC01480	0	0	0.768613601521716
CARS	6.12162650300924e-58	8.86411517635738e-54	0.760920650627531
LAG3	6.15294820633892e-65	8.90946900277876e-61	0.746461516942479
TOX	1.30733787166249e-57	1.89302523816728e-53	0.738606975932341
PTPRCAP	1.23195840630648e-79	1.78387577233178e-75	0.704188764968567
ASB2	3.6099248687467e-92	5.22717120994523e-88	0.691431391008279
ITGB7	1.68259930327957e-48	2.43640379114882e-44	0.686131933081731
PTMS	1.8047761897138e-60	2.61331592270559e-56	0.676989820828762
CD8A	1.43447099092256e-67	2.07711399485586e-63	0.667534119757222
GPR68	1.24164790872906e-49	1.79790617183968e-45	0.664491782458331
NSMCE1	1.37153398459429e-52	1.98598120969253e-48	0.658456656467356
ABI3	1.02264892775018e-88	1.48079564738226e-84	0.65780031253028
SLC1A4	7.93727058435484e-61	1.14931678061458e-56	0.650359613592101
PLEKHF1	6.41067862271553e-33	9.28266264569208e-29	0.64312923071095
CD8B	1.3465785933398e-56	1.94984580315603e-52	0.638624096659914
LINC01871	2.62427377134996e-75	3.79994842091474e-71	0.632098350256266
CCL4	3.37985927615926e-51	4.8940362318786e-47	0.631133810882002
NKG7	3.40280669112417e-52	4.9272640887478e-48	0.607875194303228
CLIC3	8.42881437674418e-36	1.22049232175256e-31	0.604094265301956
NDFIP2	1.72597580083513e-57	2.49921295960927e-53	0.600969667427656
PLPP1	4.47622086795966e-61	6.48156781680558e-57	0.598585548274394
PCED1B	8.18932461453844e-48	1.18581420418517e-43	0.595136016538079
CXCL13	2.83225725945009e-39	4.10110851168374e-35	0.584905463738209
PDCD1	1.83788249224163e-37	2.66125384876588e-33	0.582206988609363
PRF1	2.08303649399048e-61	3.01623684329821e-57	0.581277875740419
HLA-DMA	8.21862990799777e-31	1.19005761067808e-26	0.580052444998669
GPR25	9.66572538601299e-45	1.39959703589468e-40	0.579597733891174
CD9	3.08489415661087e-52	4.46692673877254e-48	0.572513737620952
TIGIT	1.39466206400729e-37	2.01947066868255e-33	0.571006000700684
HLA-DRB5	3.4606020078386e-38	5.01095170735029e-34	0.569031035329983
SYTL3	1.80710617050507e-28	2.61668973489135e-24	0.558701330926367
SLF1	3.58518394009798e-39	5.19134634526188e-35	0.558193070751954
NEK1	6.91604061606114e-32	1.00144268120565e-27	0.551008228004889
CASP1	1.3502394712046e-30	1.95514675430425e-26	0.55047949151384
SMC4	6.55929218824025e-24	9.49785508857188e-20	0.538159955716217
TSEN54	4.36032647962983e-30	6.313752742504e-26	0.536583438463114
PLSCR1	4.50004539642753e-30	6.51606573402707e-26	0.532565907733075
GNPTAB	9.39871904243927e-32	1.36093451734521e-27	0.527887230763608
HLA-DPB1	2.12648948584675e-32	3.07915677550609e-28	0.526733619329086
PLEKHA1	1.98082208544029e-21	2.86823037971754e-17	0.525108898817463
ARHGAP9	2.67110161939347e-34	3.86775514488175e-30	0.52413057419573
ALOX5AP	1.36647277739468e-42	1.97865258166749e-38	0.523177522432631
SH3BP1	8.34548847790814e-26	1.2084267316011e-21	0.521409348662341
NCF4	4.17532851007806e-44	6.04587568259304e-40	0.516222186911876
NELL2	3.19338816853432e-30	4.62402606803769e-26	0.514601521129051
GATA3	5.58326678694271e-38	8.08457030749305e-34	0.507784557982951
PPM1M	4.11733482471227e-32	5.96190082618336e-28	0.499573733327526
TNFRSF1A	5.12018682864174e-29	7.41403052787324e-25	0.496991012989667
AC022706.1	1.0042496280731e-24	1.45415346144985e-20	0.488760211453657
MCM5	8.23840485370414e-18	1.19292102281636e-13	0.482193404398932
HLA-DRB1	1.18349255982497e-29	1.71369722662656e-25	0.480445669253115
TNFSF10	2.99325903100693e-39	4.33423907689803e-35	0.479283438006736
TRIM21	6.04177331992529e-31	8.74848776725182e-27	0.478912115030437
HDLBP	1.98005521993902e-29	2.86711995847171e-25	0.475426548396813
ERN1	2.97842528106487e-17	4.31275980698193e-13	0.465663994376011
CALHM2	2.60641249587033e-29	3.77408529402023e-25	0.46455476024646
SASH3	1.08715525682806e-21	1.57420081188703e-17	0.463788405924378
ACTA2	2.20944490932749e-24	3.1992762287062e-20	0.461450414971272
MAST4	1.83528933348037e-24	2.65749895487958e-20	0.457829738583044
CAPG	1.3492407866872e-27	1.95370065912307e-23	0.446839356246994
MPST	1.38959759481884e-23	2.01213731729768e-19	0.445366078320849
IGFLR1	4.44924193826269e-19	6.44250232660438e-15	0.44495745337955
GZMA	2.55345243562759e-23	3.69739912678876e-19	0.439943781264578
CD27	1.09829008279704e-19	1.59032403989012e-15	0.439133742005026
ITGAE	2.20703347122638e-29	3.19578446633579e-25	0.436004946547748
SLA2	1.79129771579939e-26	2.59379909247752e-22	0.428124942370602
RHOC	1.05335343829419e-37	1.52525577864999e-33	0.419716598794219
COMMD8	9.91365522973896e-27	1.4354972772662e-22	0.41894218093383
MYO1G	3.98692774388019e-25	5.77307137313851e-21	0.415978511216205
SP140	1.31739162131907e-15	1.90758306767001e-11	0.415478496477043
PHPT1	5.19891391021736e-16	7.52802734199474e-12	0.413563954709169
CD2BP2	6.18343481152164e-15	8.95361360708334e-11	0.413520904431191
PLEKHO1	2.70702370046458e-23	3.91977031827272e-19	0.41009362864849
STAM	2.53395290768038e-36	3.66916381032119e-32	0.409227039757196
MRPL16	1.59544522378526e-15	2.31020468404106e-11	0.408811598994602
IL2RB	1.57033333935666e-24	2.27384267538845e-20	0.407839952545599
ID2	2.86879063683355e-21	4.15400884213498e-17	0.402904553261302
TESPA1	9.82058986711359e-18	1.42202141275805e-13	0.402898127155896
GOLGA8B	5.48521637558807e-23	7.94259331185152e-19	0.402796636822117
MIS18BP1	8.55526581978054e-19	1.23880249070422e-14	0.401488189385072
VAMP5	2.55661982634547e-15	3.70198550854824e-11	0.400698462770699
DAPK2	1.57615561645327e-21	2.28227333262433e-17	0.398856066359039
HLA-DPA1	6.42459173083702e-21	9.30280882625201e-17	0.395250358820422
TSG101	1.53634767085817e-16	2.22463142740263e-12	0.3908524678559
IL4R	9.02133496509765e-66	1.30628930294614e-61	0.390799152281652
CCND2	4.67957974129074e-28	6.77603146538899e-24	0.389921308433925
CTSC	1.10976732331304e-25	1.60694308415728e-21	0.38982691897213
TRAF3IP3	2.64141867100489e-20	3.82477423561508e-16	0.388090655829241
NLRC3	1.94378393833038e-23	2.8145991427024e-19	0.384667318722325
ORAI3	3.56851435468865e-23	5.16720878558917e-19	0.380660926649054
GNLY	7.84580232053616e-17	1.13607217601364e-12	0.379929601831434
MIR155HG	3.63347085965401e-18	5.261265804779e-14	0.379608649883663
CARD16	2.67805947285484e-22	3.8778301166938e-18	0.378556670786158
CD82	6.98398009306255e-20	1.01128031747546e-15	0.376970526577581
ECH1	9.59134434769075e-26	1.38882666154562e-21	0.376290590412992
JAML	4.46229317934774e-19	6.46140052369552e-15	0.376234137202468
EEF1G	2.04526409164473e-27	2.96154240470158e-23	0.373398495548888
ETFB	1.43836700747851e-16	2.08275542682889e-12	0.372560613986501
DAXX	1.16153184677222e-20	1.68189811412617e-16	0.371747688828306
RBM4	1.78996835035228e-23	2.5918741713101e-19	0.371373402588941
HCST	2.02292723570112e-23	2.92919863729522e-19	0.370821149115926
RAB27A	1.11003303762625e-32	1.6073278384828e-28	0.367755368628663
YPEL2	2.09302138564072e-09	3.03069496640776e-05	0.36561181047856
CHST12	5.45106609091096e-21	7.89314369963907e-17	0.365349792805332
ARPC1B	7.95523395105593e-21	1.1519178761129e-16	0.364989762831644
PDIA4	2.11114147228805e-17	3.0569328518731e-13	0.35993659490625
PDIA6	1.70275058108455e-18	2.46558284141043e-14	0.359145604245774
AC243960.1	1.45232895001809e-19	2.10297231962619e-15	0.355227813672701
TBC1D10C	2.74043853317583e-17	3.9681549960386e-13	0.353858514643748
PTPN6	2.83496789493292e-24	4.10503351186287e-20	0.353376437231912
PYCARD	5.06248762022771e-15	7.33048207408972e-11	0.351280510364983
BST2	1.14016056897266e-22	1.65095250387242e-18	0.349502680204829
BTN3A2	3.31043407152974e-18	4.79350853557507e-14	0.348693816293001
MTG1	6.68515069174288e-14	9.68009820164369e-10	0.348308050540103
MLEC	3.60774988870017e-12	5.22402183883784e-08	0.347949930163124
DUSP4	1.60700998184841e-16	2.3269504537165e-12	0.347477151288843
GSDMD	1.01320996531567e-12	1.4671280297771e-08	0.346667676212097
SLAMF1	5.73597267560991e-13	8.30568843428316e-09	0.343780425928349
IFI6	4.74857774661863e-25	6.87594057710377e-21	0.341734853796431
PCID2	3.27218152644886e-18	4.73811885029794e-14	0.340385118061674
GIMAP1	6.17729895591106e-28	8.94472888815921e-24	0.338630093294355
ITGA1	9.22840229034692e-15	1.33627265164223e-10	0.338493085251844
CSNK2B	4.40160674060402e-32	6.37352656039462e-28	0.338219979420115
CDK2AP2	5.41006329484504e-15	7.83377165093561e-11	0.335493071317766
MYO1F	6.89393688265137e-17	9.98242060607918e-13	0.334414661267734
AC004687.1	3.24755313750072e-13	4.70245694310104e-09	0.332503087779082
PTTG1	1.45345087321449e-26	2.10459686441458e-22	0.32742045704586
APOBEC3C	1.01838995297607e-13	1.47462865190935e-09	0.325763563292219
TSPAN14	3.17387963176898e-14	4.59577770680148e-10	0.325691873455462
MOB3A	2.87491721051075e-13	4.16288012081957e-09	0.325566313032546
STXBP2	1.09036300955136e-27	1.57884563783037e-23	0.324768242485902
LCP2	8.20768747885801e-14	1.18847314693864e-09	0.322079853786854
PLA2G16	9.780933562144e-16	1.41627917979845e-11	0.321775897352318
LINC00649	2.76098941221473e-18	3.99791266888692e-14	0.320685820081514
CST7	4.5782965865254e-17	6.62937345728878e-13	0.319561077273592
TADA3	2.63968735378614e-11	3.82226728828233e-07	0.319048639441795
SIT1	7.12750653212193e-16	1.03206294585126e-11	0.318435701758355
APOBEC3G	2.22023619236247e-12	3.21490200654085e-08	0.317733050321117
SUSD3	5.0299849288268e-18	7.28341817694121e-14	0.315587646322859
CD3G	4.97508335134752e-21	7.20392069275121e-17	0.314603031277486
CCL5	1.15053232121621e-10	1.66597080112107e-06	0.31449379679205
CDC25B	4.70465677846054e-16	6.81234301521086e-12	0.314381503184989
TNFRSF1B	1.23997661980162e-12	1.79548614547275e-08	0.314071587116538
HMGN3	1.35559056736006e-17	1.96289514153737e-13	0.312244807988211
THEMIS	7.08058938494888e-12	1.0252693429406e-07	0.311568627463217
ASF1A	1.03300628579197e-14	1.49579310182678e-10	0.311126368478001
CTNNB1	4.55173211611106e-16	6.59090810412882e-12	0.311045255621042
FIBP	3.17065603912357e-16	4.59110994465093e-12	0.310872042986103
CCDC85B	7.63397663295884e-10	1.10539981645244e-05	0.310349965120718
POLR3GL	1.76405556933278e-12	2.55435246439387e-08	0.310164291624825
GIMAP6	2.91188478187667e-14	4.21640916415742e-10	0.309783086308946
ARL6IP1	1.24028628423368e-29	1.79593453957037e-25	0.306712464240884
CALCOCO2	1.38252923061002e-12	2.00190232592331e-08	0.305645205227094
CCPG1	1.11170655826069e-11	1.60975109636148e-07	0.305257557022849
KLRB1	1.27641425285299e-11	1.84824783813112e-07	0.303281578530265
ACAA2	1.03573023795295e-11	1.49973738455587e-07	0.302167125331214
ISG15	7.90290313967146e-11	1.14434037462443e-06	0.300486194662185
EIF4A1	4.61728148832074e-11	6.68582359508843e-07	0.29891194527517
CAT	8.17906905651083e-24	1.18432919938277e-19	0.29766286159228
MANF	9.69937627241527e-09	0.000140446968425	0.297627259240668
XAB2	2.08671550594501e-09	3.02156405260837e-05	0.297348952523046
GRINA	1.44173018855982e-09	2.08762531303462e-05	0.294464208809188
GLO1	4.01635101129715e-09	5.81567626435828e-05	0.292392443147289
LSM2	7.65146265145911e-11	1.10793179193128e-06	0.291585843117407
SLFN5	2.33816224397656e-10	3.38565892927806e-06	0.290772780189123
FKBP1A	2.07441109906848e-13	3.00374727145116e-09	0.290653550378738
AKNA	1.80904313916457e-08	0.000261949446551	0.288774517950091
TAP1	1.67352569454399e-11	2.42326520569969e-07	0.286794220184008
LMO4	9.22193637002233e-22	1.33533638637923e-17	0.286054887119878
APEH	2.18347663035353e-11	3.1616741607519e-07	0.285578100548265
C12orf75	1.6187571735979e-12	2.34396038736975e-08	0.282053227991484
TMEM14A	3.36709747796509e-10	4.87555714809346e-06	0.28094011535373
DNPH1	8.0959939203174e-12	1.17229991966196e-07	0.280796439013344
C17orf49	1.5236189686545e-14	2.20620026661172e-10	0.280571105797385
NUDT5	2.39558601533783e-11	3.46880855020917e-07	0.280563185952682
MGAT1	6.72978605184531e-14	9.74473020307201e-10	0.280036130190432
CCDC69	5.96619281457446e-09	8.63904719550382e-05	0.279847089467899
EIF4EBP1	9.60684339750739e-11	1.39107092395907e-06	0.279175744076747
PDHB	6.53306472966307e-12	9.45987772855212e-08	0.277591995686578
ARL3	3.55984232273938e-09	5.15465168332663e-05	0.27752417080008
UCP2	5.88439048386615e-10	8.52059742063819e-06	0.277504844817907
IFI35	1.46981084085328e-18	2.12828609755555e-14	0.276456493786136
HSBP1	2.3297151349628e-14	3.37342751542614e-10	0.276153153954717
LYST	3.49679308854939e-15	5.06335639221952e-11	0.276126091249859
MRFAP1L1	6.2253221662625e-09	9.0142664967481e-05	0.275951245542523
ITGAL	1.13961524164429e-08	0.00016501628699	0.275778559073186
AIP	2.1755360982187e-10	3.15017627022067e-06	0.275560363291235
RASAL3	2.64034098928534e-09	3.82321375248517e-05	0.275026799286476
CAPN1	5.40693658892225e-09	7.82924418075942e-05	0.274736532638069
